"File","Keyword","Text"
"C:\Users\deerd\detected_speech_log.csv","murder","2025-02-17 14:41:33,in one or what will our and all the the you don't recall you although no one all working who we were to come on and he he will he we all know really what it look what will you cool off or that he could like role in the real we were you eat and what are we cool anger and parker and we want murder what are you on to her,""120.2, 120.3, 120.1, 120.0, 240.0, 360.0, 240.0, 240.0, 240.0, 120.0"""
"C:\Users\deerd\detected_speech_log.csv","murder","2025-02-17 14:57:33,where are we knew do you two are double murder will or who the winner in call to her into the group or will you agree what i'm gonna add up all the eggs are there i got ed alta could our we're your hmm and out hit her or what depth and op that are at at at what,""300.0, 1000.0, 200.0, 200.0, 300.0, 240.1, 1000.0, 120.0, 1000.0, 120.0"""
"C:\Users\deerd\detected_speech_log.csv","death","2025-02-17 15:06:33,it accused that one and it moved that athlete at the death at up glue talk but with but look good look at it that and that and a stop that could not and and what are what are what article look up at recruit what are you meet him are thirty look at what up to her what are they,""997.7, 1001.4, 999.1, 999.1, 120.0, 200.0, 200.0, 1000.0, 1000.0, 1000.0"""
"C:\Users\deerd\detected_speech_log.csv","army","2025-02-17 15:16:33,at the whirlpool and no who'd we're we're off argh oh what a guy learn the army and we go will win or or what or people are all who would you know that that are riddled opera occur at gerdes a reporter who are the real or is it what is it accurate,""119.9, 239.9, 999.1, 119.5, 300.0, 200.0, 200.0, 1000.0, 1000.0, 120.0"""
"C:\Users\deerd\detected_speech_log.csv","CIA","2025-02-17 17:19:40,what that have officials as the truck was not written,""100.0, -200.0, 200.0, 1025.0, -1025.0"""
"C:\Users\deerd\detected_speech_log.csv","murder","2025-02-18 22:04:14,i don't at least or come on what it hear all and the me green and we don't and all the looking young the law in in who it good name the the the or the young and on murder and gloom hitler or cooking one quick learner who called the gong and on come a who don't agree glum it'll be totally little good legal you who had illinois,""998.7, 999.7, 998.5, 998.0, 999.8, 999.8, 999.2, 999.1, 999.8, 999.2"""
"C:\Users\deerd\detected_speech_log.csv","Langley","2025-02-18 22:57:14,and the book on the record and i do a etiquette and will you and i can go look at the mood or you don't langley a gringo young and hot little of an ally,""271.0, 180.9, 235.4, 659.9, 180.6, 241.2, 661.4, 299.5, 190.0, 176.4"""
"C:\Users\deerd\detected_speech_STOMACH_8_log.csv","death","2025-02-25 10:48:51,,,i feel i hear a thing you know the death let me go from one of our now the real reason thighs it all,i feel i hear a thing you know the death let me go from one of our now the real reason thighs it all,,""107.2, 24.0, 101.6, 98.2, 98.1, 102.4, 22.4, 102.3, 22.2, 102.5"""
"C:\Users\deerd\detected_words_log.csv","police","2025-02-22 19:12:37,the square root of that policemen like,Invisible elephants are plotting world peace."
"C:\Users\deerd\detected_words_log.csv","CIA","2025-02-22 19:42:52,the quantum fissure social networks time the,Invisible elephants are plotting world peace."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-22 19:43:11,the grabbing is just for its way of hunting you,Time travelers prefer chocolate ice cream."
"C:\Users\deerd\detected_words_log.csv","police","2025-02-22 22:14:56,the square we didn't play that policemen like,Blue bananas taste like music on Tuesdays."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:14:59,the first way of hunting you,Time travelers prefer chocolate ice cream."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:15:27,the gravity is just for its way of hunting you,Clouds are really just fluffy spies from another dimension."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:15:51,the gravity is just for its way of hunting you,Blue bananas taste like music on Tuesdays."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:17:09,the gravity is just for its way of hunting you,Invisible elephants are plotting world peace."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:29:44,the gravity is just for its way of hunting you,Clouds are really just fluffy spies from another dimension."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:30:29,the gravity is just for its way of hunting you,The square root of pineapple is moonlight."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:45:28,the gravity is just where it's where you're hunting you,Have you ever spoken to a sentient sandwich?"
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 00:49:29,the gravity is just for its way of hunting you,Time travelers prefer chocolate ice cream."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 01:05:57,the gravity is just for where you're hunting you,Have you ever spoken to a sentient sandwich?"
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 01:13:27,the gravity is just for its way of hunting you,Blue bananas taste like music on Tuesdays."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 01:19:49,the gravity is just for its way of hunting in the,Clouds are really just fluffy spies from another dimension."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 02:56:28,the remedy is just for its way of hunting you,The quantum fish swims backward through time!"
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 03:12:24,the gravity is just for its way of hunting you,The stars whisper secrets to those who listen."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 03:12:38,the gravity is just for its way of hunting you,Time travelers prefer chocolate ice cream."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 03:13:06,the gravity is just for its way of hunting you,A llama in a tuxedo once gave me life advice."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 04:12:35,the gravity is good for quail hunting gear,Blue bananas taste like music on Tuesdays."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 04:15:09,the gravity is best for its way of hunting you,The quantum fish swims backward through time!"
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 04:15:44,the gravity is just for its way of hunting you,Invisible elephants are plotting world peace."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 04:17:19,the gravity is just for its way of hunting you,The quantum fish swims backward through time!"
"C:\Users\deerd\detected_words_log.csv","CIA","2025-02-23 05:07:55,the love especially your wife gave me life advice,Have you ever spoken to a sentient sandwich?"
"C:\Users\deerd\detected_words_log.csv","CIA","2025-02-23 05:08:50,the love of especially once gave me life advice,The square root of pineapple is moonlight."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 05:28:23,the gravity is just for its way of hunting here,The quantum fish swims backward through time!"
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 05:32:55,the gravity is just for its way of hunting you,Gravity is just Earth's way of hugging you."
"C:\Users\deerd\detected_words_log.csv","CIA","2025-02-23 06:35:56,the lava especially once gave me life advice,The quantum fish swims backward through time!"
"C:\Users\deerd\detected_words_log.csv","CIA","2025-02-23 06:42:04,the law and especially he'll watch gave me life advice,Have you ever spoken to a sentient sandwich?"
"C:\Users\deerd\detected_words_log.csv","CIA","2025-02-23 06:49:36,the law especially once gave me life advice,The stars whisper secrets to those who listen."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 07:09:02,the gravity is just for its way of hunting you,Invisible elephants are plotting world peace."
"C:\Users\deerd\detected_words_log.csv","hunt","2025-02-23 07:13:39,the gravity is just for its way of hunting you,Blue bananas taste like music on Tuesdays."
